subject,fid,response
jack545,27799536,2
jack545,27799536,5
jack545,27799536,5
jack545,27799536,1
jack545,27799536,1
jack545,27799536,1
jack545,27799536,5
jack545,27799536,1
jack545,32134448,1
jack545,32134448,1
jack545,32134448,1
jack545,27804279,1
jack545,27804279,1
jack545,27804279,1
jack545,27796852,1
jack545,27796852,1
jack545,27796852,1
jack545,10577085,1
jack545,10577085,1
jack545,10577085,5
jack545,10577085,5
jack545,10577085,5
jack545,10577085,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,5
jack545,10577421,5
jack545,10577421,5
jack545,10577421,5
jack545,10577421,5
jack545,10577421,1
jack545,7349067,1
jack545,7349067,1
jack545,7349067,5
jack545,7349067,5
jack545,7349067,1
jack545,34090221,1
jack545,34090221,1
jack545,34090221,5
jack545,34090221,1
jack545,44520148,1
jack545,44520148,1
jack545,44520148,1
jack545,10577726,1
jack545,10577726,5
jack545,10577726,5
jack545,10577726,5
jack545,10577726,5
jack545,10577726,1
jack545,10577726,1
jack545,27800218,1
jack545,27800218,1
jack545,27800218,5
jack545,27800218,1
jack545,10578378,5
jack545,10578378,1
jack545,10578378,1
jack545,10578378,1
jack545,10578378,1
jack545,10578378,1
jack545,10578517,5
jack545,10578517,1
jack545,10578517,1
jack545,10578517,1
jack545,10576888,1
jack545,10576888,1
jack545,10576888,5
jack545,10576888,5
jack545,10576888,5
jack545,7349197,1
jack545,7349197,1
jack545,7349197,5
jack545,7349197,1
jack545,7349197,1
jack545,27802905,1
jack545,27802905,5
jack545,27802905,1
jack545,27802905,1
jack545,27802905,1
jack545,27797673,1
jack545,27797673,1
jack545,27797673,1
jack545,27801385,1
jack545,27801385,1
jack545,27801385,1
jack545,27799911,1
jack545,27799911,1
jack545,27799911,5
jack545,27799911,1
jack545,51583309,1
jack545,51583309,1
jack545,51583309,1
jack545,44520106,1
jack545,44520106,1
jack545,44520106,1
jack545,44519964,1
jack545,44519964,1
jack545,44519964,5
jack545,44519964,1
jack545,44519964,1
jack545,47632533,1
jack545,47632533,1
jack545,47632533,1
jack545,47632533,1
jack545,27799972,1
jack545,27799972,1
jack545,27799972,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27802081,1
jack545,27802081,1
jack545,27802081,1
olha,36144131,1
olha,36144131,1
olha,36144131,2
olha,36144131,1
olha,36144131,1
olha,7349072,1
olha,7349072,1
olha,7349072,1
olha,4661268,1
olha,4661268,1
olha,4661268,1
olha,27796431,5
olha,27796431,1
olha,27796431,1
olha,6316602,1
olha,6316602,5
olha,6316602,5
olha,6316602,1
olha,10578077,1
olha,10578077,1
olha,10578077,1
olha,8867670,1
olha,8867670,1
olha,8867670,1
olha,32134448,1
olha,32134448,5
olha,32134448,5
olha,22907701,5
olha,22907701,1
olha,22907701,1
olha,22907701,5
olha,10577146,1
olha,10577146,1
olha,10577146,1
olha,27796647,1
olha,27796647,1
olha,27796647,1
olha,10579194,1
olha,10579194,5
olha,10579194,3
olha,27799910,5
olha,27799910,1
olha,27799910,1
olha,27800218,1
olha,27800218,1
olha,27800218,1
olha,22907721,1
olha,22907721,5
olha,22907721,1
olha,22908000,1
olha,22908000,1
olha,22908000,1
olha,10577565,1
olha,10577565,1
olha,10577565,1
olha,44520387,1
olha,44520387,1
olha,44520387,5
ndemirci,44520084,2
ndemirci,44520084,2
ndemirci,44520084,2
ndemirci,44520084,3
ndemirci,44520084,2
ndemirci,44520084,2
ndemirci,36144131,2
ndemirci,36144131,2
ndemirci,36144131,2
ndemirci,36144131,2
ndemirci,36144131,1
ndemirci,36144131,1
ndemirci,44821127,1
ndemirci,44821127,4
ndemirci,44821127,2
ndemirci,44821127,4
ndemirci,44821127,2
ndemirci,44821127,4
ndemirci,44821127,4
ndemirci,44821127,1
ndemirci,27802081,1
ndemirci,27802081,4
ndemirci,27802081,1
ndemirci,27802081,1
ndemirci,10576909,1
ndemirci,10576909,4
ndemirci,10576909,1
ndemirci,10576909,1
ndemirci,44520272,1
ndemirci,44520272,1
ndemirci,44520272,1
ndemirci,27796852,1
ndemirci,27796852,1
ndemirci,27799972,4
ndemirci,27799972,1
ndemirci,27799972,2
ndemirci,27799972,2
ndemirci,27799972,2
ndemirci,27799972,4
ndemirci,27799972,4
ndemirci,6316602,1
ndemirci,6316602,1
ndemirci,10579035,1
ndemirci,10579035,1
ndemirci,44820972,1
ndemirci,44820972,1
ndemirci,44820972,1
ndemirci,27805178,1
ndemirci,27805178,1
ndemirci,27805178,1
ndemirci,10577146,1
ndemirci,10577146,1
ndemirci,10577146,1
ndemirci,27797205,1
ndemirci,27797205,2
ndemirci,4661284,1
ndemirci,4661284,1
ndemirci,4661284,2
ndemirci,4661284,2
ndemirci,4661284,2
ndemirci,4661284,2
ndemirci,4661284,1
ndemirci,22907980,1
ndemirci,22907980,1
ndemirci,22907980,1
ndemirci,27800553,1
ndemirci,27800553,1
ndemirci,27800553,1
ndemirci,44821071,1
ndemirci,44821071,1
ndemirci,44821071,1
ndemirci,27804446,1
ndemirci,27804446,1
ndemirci,27804446,1
ndemirci,27798250,1
ndemirci,27798250,1
ndemirci,27798250,1
juhsis,27804279,1
juhsis,27804279,3
juhsis,27804279,1
juhsis,27804279,1
juhsis,6316602,5
juhsis,6316602,5
juhsis,6316602,1
juhsis,6316602,1
juhsis,6316602,1
juhsis,10579053,5
juhsis,10579053,5
juhsis,10579053,2
juhsis,10579053,5
juhsis,10579053,5
juhsis,10579053,5
juhsis,10579053,1
juhsis,10579053,1
juhsis,10579053,1
juhsis,10577421,1
juhsis,10577421,5
juhsis,10577421,1
juhsis,10577421,1
juhsis,27798250,1
juhsis,27798250,1
juhsis,27798250,5
juhsis,27798250,1
juhsis,47632544,1
juhsis,47632544,1
juhsis,47632544,5
juhsis,27802081,1
juhsis,27802081,1
juhsis,27802081,5
juhsis,27802081,1
juhsis,32134448,1
juhsis,32134448,1
juhsis,32134448,1
juhsis,32134448,1
juhsis,27802216,1
juhsis,27802216,1
juhsis,27802216,1
juhsis,27802216,1
juhsis,27801385,1
juhsis,27801385,1
juhsis,27801385,1
juhsis,10579035,1
juhsis,10579035,1
juhsis,10579035,1
juhsis,10577247,1
juhsis,10577247,1
juhsis,10577247,1
juhsis,27805178,1
juhsis,27805178,1
juhsis,27805178,1
juhsis,8867848,5
juhsis,8867848,1
juhsis,8867848,1
juhsis,8867848,1
juhsis,22907980,1
juhsis,22907980,1
juhsis,22907980,1
juhsis,36144131,1
juhsis,36144131,1
juhsis,36144131,1
juhsis,10577085,1
juhsis,10577085,5
juhsis,10577085,1
juhsis,10577085,1
juhsis,27799972,1
juhsis,27799972,1
juhsis,27799972,1
tchuanro,10578077,1
tchuanro,10578077,2
tchuanro,10578077,2
