subject,fid,response
jack545,27799536,4
jack545,27799536,1
jack545,27799536,1
jack545,27799536,5
jack545,27799536,5
jack545,27799536,5
jack545,27799536,1
jack545,27799536,5
jack545,32134448,5
jack545,32134448,5
jack545,32134448,5
jack545,27804279,5
jack545,27804279,5
jack545,27804279,5
jack545,27796852,5
jack545,27796852,5
jack545,27796852,5
jack545,10577085,5
jack545,10577085,5
jack545,10577085,1
jack545,10577085,1
jack545,10577085,1
jack545,10577085,5
jack545,10577421,5
jack545,10577421,5
jack545,10577421,5
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,5
jack545,7349067,5
jack545,7349067,5
jack545,7349067,1
jack545,7349067,1
jack545,7349067,5
jack545,34090221,5
jack545,34090221,5
jack545,34090221,1
jack545,34090221,5
jack545,44520148,5
jack545,44520148,5
jack545,44520148,5
jack545,10577726,5
jack545,10577726,1
jack545,10577726,1
jack545,10577726,1
jack545,10577726,1
jack545,10577726,5
jack545,10577726,5
jack545,27800218,5
jack545,27800218,5
jack545,27800218,1
jack545,27800218,5
jack545,10578378,1
jack545,10578378,5
jack545,10578378,3
jack545,10578378,3
jack545,10578378,5
jack545,10578378,5
jack545,10578517,1
jack545,10578517,5
jack545,10578517,5
jack545,10578517,5
jack545,10576888,5
jack545,10576888,5
jack545,10576888,1
jack545,10576888,1
jack545,10576888,1
jack545,7349197,5
jack545,7349197,5
jack545,7349197,1
jack545,7349197,5
jack545,7349197,5
jack545,27802905,5
jack545,27802905,1
jack545,27802905,5
jack545,27802905,5
jack545,27802905,5
jack545,27797673,5
jack545,27797673,5
jack545,27797673,5
jack545,27801385,5
jack545,27801385,5
jack545,27801385,5
jack545,27799911,5
jack545,27799911,5
jack545,27799911,1
jack545,27799911,5
jack545,51583309,5
jack545,51583309,5
jack545,51583309,5
jack545,44520106,5
jack545,44520106,5
jack545,44520106,5
jack545,44519964,5
jack545,44519964,5
jack545,44519964,1
jack545,44519964,5
jack545,44519964,5
jack545,47632533,5
jack545,47632533,5
jack545,47632533,5
jack545,47632533,5
jack545,27799972,5
jack545,27799972,5
jack545,27799972,5
jack545,27803215,5
jack545,27803215,5
jack545,27803215,5
jack545,27803215,5
jack545,27803215,5
jack545,27802081,5
jack545,27802081,5
jack545,27802081,5
olha,36144131,5
olha,36144131,5
olha,36144131,4
olha,36144131,5
olha,36144131,5
olha,7349072,5
olha,7349072,5
olha,7349072,5
olha,4661268,5
olha,4661268,5
olha,4661268,5
olha,27796431,5
olha,27796431,5
olha,27796431,5
olha,6316602,5
olha,6316602,5
olha,6316602,5
olha,6316602,5
olha,10578077,5
olha,10578077,5
olha,10578077,5
olha,8867670,5
olha,8867670,5
olha,8867670,5
olha,32134448,5
olha,32134448,1
olha,32134448,1
olha,22907701,1
olha,22907701,5
olha,22907701,5
olha,22907701,1
olha,10577146,5
olha,10577146,5
olha,10577146,5
olha,27796647,5
olha,27796647,5
olha,27796647,5
olha,10579194,5
olha,10579194,2
olha,10579194,4
olha,27799910,1
olha,27799910,5
olha,27799910,5
olha,27800218,5
olha,27800218,5
olha,27800218,5
olha,22907721,5
olha,22907721,1
olha,22907721,5
olha,22908000,5
olha,22908000,5
olha,22908000,5
olha,10577565,5
olha,10577565,5
olha,10577565,5
olha,44520387,5
olha,44520387,5
olha,44520387,3
ndemirci,44520084,3
ndemirci,44520084,3
ndemirci,44520084,4
ndemirci,44520084,2
ndemirci,44520084,2
ndemirci,44520084,3
ndemirci,36144131,4
ndemirci,36144131,4
ndemirci,36144131,4
ndemirci,36144131,2
