subject,fid,Qtype,response
jack545,27799536,4,5
jack545,27799536,5,3
jack545,27799536,5,3
jack545,27799536,5,5
jack545,27799536,5,5
jack545,27799536,5,5
jack545,27799536,5,3
jack545,27799536,5,5
jack545,32134448,1,5
jack545,32134448,4,5
jack545,32134448,5,5
jack545,27804279,1,5
jack545,27804279,3,5
jack545,27804279,4,5
jack545,27796852,1,5
jack545,27796852,5,5
jack545,27796852,6,5
jack545,10577085,1,5
jack545,10577085,3,5
jack545,10577085,6,1
jack545,10577085,6,1
jack545,10577085,6,1
jack545,10577085,6,5
jack545,10577421,1,5
jack545,10577421,2,5
jack545,10577421,2,5
jack545,10577421,5,1
jack545,10577421,5,1
jack545,10577421,5,1
jack545,10577421,5,5
jack545,10577421,6,1
jack545,10577421,6,1
jack545,7349067,4,5
jack545,7349067,5,5
jack545,7349067,5,1
jack545,7349067,5,5
jack545,7349067,6,1
jack545,34090221,3,5
jack545,34090221,4,1
jack545,34090221,4,5
jack545,34090221,5,5
jack545,44520148,2,5
jack545,44520148,4,5
jack545,44520148,5,5
jack545,10577726,2,5
jack545,10577726,3,5
jack545,10577726,5,1
jack545,10577726,5,1
jack545,10577726,5,1
jack545,10577726,6,1
jack545,10577726,6,5
jack545,27800218,2,5
jack545,27800218,3,1
jack545,27800218,3,5
jack545,27800218,4,5
jack545,10578378,1,1
jack545,10578378,1,3
jack545,10578378,1,3
jack545,10578378,3,5
jack545,10578378,5,5
jack545,10578378,6,5
jack545,10578517,1,1
jack545,10578517,1,5
jack545,10578517,2,5
jack545,10578517,6,5
jack545,10576888,1,5
jack545,10576888,4,5
jack545,10576888,5,1
jack545,10576888,5,1
jack545,10576888,6,1
jack545,7349197,2,5
jack545,7349197,2,5
jack545,7349197,3,5
jack545,7349197,6,1
jack545,7349197,6,5
jack545,27802905,1,5
jack545,27802905,2,5
jack545,27802905,5,1
jack545,27802905,5,5
jack545,27802905,6,5
jack545,27797673,1,5
jack545,27797673,2,5
jack545,27797673,5,5
jack545,27801385,2,5
jack545,27801385,3,5
jack545,27801385,5,5
jack545,27799911,1,5
jack545,27799911,2,5
jack545,27799911,4,1
jack545,27799911,4,5
jack545,51583309,2,5
jack545,51583309,3,5
jack545,51583309,5,5
jack545,44520106,3,5
jack545,44520106,4,5
jack545,44520106,5,5
jack545,44519964,1,5
jack545,44519964,2,5
jack545,44519964,4,5
jack545,44519964,5,5
jack545,44519964,6,1
jack545,47632533,1,5
jack545,47632533,2,5
jack545,47632533,5,5
jack545,47632533,6,5
jack545,27799972,1,5
jack545,27799972,5,5
jack545,27799972,5,5
jack545,27803215,3,5
jack545,27803215,5,5
jack545,27803215,6,5
jack545,27803215,6,5
jack545,27803215,6,5
jack545,27802081,3,5
jack545,27802081,4,5
jack545,27802081,6,5
olha,36144131,1,5
olha,36144131,1,5
olha,36144131,5,5
olha,36144131,5,5
olha,36144131,6,5
olha,7349072,1,5
olha,7349072,2,5
olha,7349072,5,5
olha,4661268,1,5
olha,4661268,2,5
olha,4661268,4,5
olha,27796431,2,5
olha,27796431,5,5
olha,27796431,6,5
olha,6316602,1,5
olha,6316602,1,5
olha,6316602,2,5
olha,6316602,6,5
olha,10578077,1,5
olha,10578077,2,5
olha,10578077,3,5
olha,8867670,1,5
olha,8867670,2,5
olha,8867670,5,5
olha,32134448,1,5
olha,32134448,3,5
olha,32134448,4,5
olha,22907701,1,5
olha,22907701,3,5
olha,22907701,6,1
olha,22907701,6,1
olha,10577146,1,5
olha,10577146,3,5
olha,10577146,6,5
olha,27796647,2,5
olha,27796647,3,5
olha,27796647,5,5
olha,10579194,2,5
olha,10579194,3,5
olha,10579194,4,2
olha,27799910,2,4
olha,27799910,3,5
olha,27799910,6,5
olha,27800218,3,5
olha,27800218,4,5
olha,27800218,5,5
olha,22907721,3,5
olha,22907721,4,4
olha,22907721,6,5
olha,22908000,1,5
olha,22908000,2,5
olha,22908000,3,5
olha,10577565,2,5
olha,10577565,5,5
olha,10577565,6,5
olha,44520387,1,5
olha,44520387,4,5
olha,44520387,6,5
ndemirci,44520084,1,4
ndemirci,44520084,2,4
ndemirci,44520084,2,2
ndemirci,44520084,5,4
ndemirci,44520084,5,2
ndemirci,44520084,5,2
ndemirci,36144131,2,4
ndemirci,36144131,2,4
ndemirci,36144131,2,4
ndemirci,36144131,3,4
ndemirci,36144131,4,4
ndemirci,36144131,5,4
ndemirci,44821127,1,1
ndemirci,44821127,1,4
ndemirci,44821127,1,2
ndemirci,44821127,3,2
ndemirci,44821127,3,2
ndemirci,44821127,3,2
ndemirci,44821127,3,4
ndemirci,44821127,5,5
ndemirci,27802081,1,4
ndemirci,27802081,1,2
ndemirci,27802081,2,4
ndemirci,27802081,3,4
ndemirci,10576909,1,4
ndemirci,10576909,3,4
ndemirci,10576909,5,2
ndemirci,10576909,5,4
ndemirci,44520272,3,4
ndemirci,44520272,5,4
ndemirci,44520272,5,4
ndemirci,27796852,1,5
ndemirci,27796852,3,5
ndemirci,27799972,2,2
ndemirci,27799972,2,4
ndemirci,27799972,2,4
ndemirci,27799972,2,4
ndemirci,27799972,2,4
ndemirci,27799972,2,3
ndemirci,27799972,5,4
ndemirci,6316602,3,4
ndemirci,6316602,5,4
ndemirci,10579035,1,4
ndemirci,10579035,3,4
ndemirci,44820972,1,4
ndemirci,44820972,3,4
ndemirci,44820972,5,4
ndemirci,27805178,1,5
ndemirci,27805178,3,5
ndemirci,27805178,5,5
ndemirci,10577146,3,5
ndemirci,10577146,4,5
ndemirci,10577146,5,5
ndemirci,27797205,4,5
ndemirci,27797205,5,4
ndemirci,4661284,2,2
ndemirci,4661284,2,1
ndemirci,4661284,2,2
