subject,fid,response
jack545,27799536,0
jack545,27799536,1
jack545,27799536,1
jack545,27799536,0
jack545,27799536,0
jack545,27799536,0
jack545,27799536,1
jack545,27799536,1
jack545,32134448,1
jack545,32134448,1
jack545,32134448,1
jack545,27804279,1
jack545,27804279,1
jack545,27804279,1
jack545,27796852,1
jack545,27796852,1
jack545,27796852,1
jack545,10577085,0
jack545,10577085,0
jack545,10577085,0
jack545,10577085,1
jack545,10577085,1
jack545,10577085,1
jack545,10577421,0
jack545,10577421,0
jack545,10577421,0
jack545,10577421,0
jack545,10577421,0
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,10577421,1
jack545,7349067,0
jack545,7349067,0
jack545,7349067,1
jack545,7349067,1
jack545,7349067,1
jack545,34090221,0
jack545,34090221,1
jack545,34090221,1
jack545,34090221,1
jack545,44520148,1
jack545,44520148,1
jack545,44520148,1
jack545,10577726,1
jack545,10577726,1
jack545,10577726,0
jack545,10577726,0
jack545,10577726,0
jack545,10577726,0
jack545,10577726,1
jack545,27800218,0
jack545,27800218,1
jack545,27800218,1
jack545,27800218,1
jack545,10578378,1
jack545,10578378,1
jack545,10578378,0
jack545,10578378,1
jack545,10578378,1
jack545,10578378,1
jack545,10578517,1
jack545,10578517,0
jack545,10578517,1
jack545,10578517,1
jack545,10576888,1
jack545,10576888,1
jack545,10576888,0
jack545,10576888,0
jack545,10576888,0
jack545,7349197,1
jack545,7349197,1
jack545,7349197,1
jack545,7349197,0
jack545,7349197,1
jack545,27802905,1
jack545,27802905,0
jack545,27802905,1
jack545,27802905,1
jack545,27802905,1
jack545,27797673,1
jack545,27797673,1
jack545,27797673,1
jack545,27801385,1
jack545,27801385,1
jack545,27801385,1
jack545,27799911,0
jack545,27799911,1
jack545,27799911,1
jack545,27799911,1
jack545,51583309,1
jack545,51583309,1
jack545,51583309,1
jack545,44520106,1
jack545,44520106,1
jack545,44520106,1
jack545,44519964,1
jack545,44519964,1
jack545,44519964,1
jack545,44519964,0
jack545,44519964,1
jack545,47632533,1
jack545,47632533,1
jack545,47632533,1
jack545,47632533,1
jack545,27799972,1
jack545,27799972,1
jack545,27799972,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27803215,1
jack545,27802081,1
jack545,27802081,1
jack545,27802081,1
olha,36144131,1
olha,36144131,1
olha,36144131,1
olha,36144131,1
olha,36144131,1
olha,7349072,1
olha,7349072,1
olha,7349072,1
olha,4661268,1
olha,4661268,1
olha,4661268,1
olha,27796431,1
olha,27796431,0
olha,27796431,1
olha,6316602,0
olha,6316602,0
olha,6316602,1
olha,6316602,1
olha,10578077,1
olha,10578077,1
olha,10578077,1
olha,8867670,1
olha,8867670,1
olha,8867670,1
olha,32134448,1
olha,32134448,0
olha,32134448,0
olha,22907701,1
olha,22907701,0
olha,22907701,1
olha,22907701,0
olha,10577146,1
olha,10577146,1
olha,10577146,1
olha,27796647,1
olha,27796647,1
olha,27796647,1
olha,10579194,1
olha,10579194,0
olha,10579194,0
olha,27799910,1
olha,27799910,0
olha,27799910,1
olha,27800218,1
olha,27800218,1
olha,27800218,1
olha,22907721,0
olha,22907721,1
olha,22907721,1
olha,22908000,1
