subject,fid,response
jack545,27799536,3
jack545,27799536,0
jack545,27799536,0
jack545,27799536,1
jack545,32134448,0
jack545,32134448,0
jack545,32134448,0
jack545,27804279,0
jack545,27804279,0
jack545,27804279,0
jack545,27796852,0
jack545,27796852,0
jack545,27796852,0
jack545,10577085,0
jack545,10577085,0
jack545,10577085,3
jack545,10577421,0
jack545,10577421,0
jack545,10577421,0
jack545,10577421,5
jack545,7349067,0
jack545,7349067,0
jack545,7349067,2
jack545,34090221,0
jack545,34090221,0
jack545,34090221,1
jack545,44520148,0
jack545,44520148,0
jack545,44520148,0
jack545,10577726,0
jack545,10577726,4
jack545,10577726,0
jack545,27800218,0
jack545,27800218,0
jack545,27800218,1
jack545,10578378,1
jack545,10578378,0
jack545,10578378,0
jack545,10578378,0
jack545,10578378,0
jack545,10578517,1
jack545,10578517,0
jack545,10578517,0
jack545,10576888,0
jack545,10576888,0
jack545,7349197,0
jack545,7349197,0
jack545,7349197,1
jack545,7349197,0
jack545,27802905,0
jack545,27802905,1
jack545,27802905,0
jack545,27802905,0
jack545,27797673,0
jack545,27797673,0
jack545,27797673,0
jack545,27801385,0
jack545,27801385,0
jack545,27801385,0
jack545,27799911,0
jack545,27799911,0
jack545,27799911,1
jack545,51583309,0
jack545,51583309,0
jack545,51583309,0
jack545,44520106,0
jack545,44520106,0
jack545,44520106,0
jack545,44519964,0
jack545,44519964,0
jack545,44519964,1
jack545,44519964,0
jack545,47632533,0
jack545,47632533,0
jack545,47632533,0
jack545,47632533,0
jack545,27799972,0
jack545,27799972,0
jack545,27799972,0
jack545,27803215,0
jack545,27803215,0
jack545,27803215,0
jack545,27803215,0
jack545,27803215,0
jack545,27802081,0
jack545,27802081,0
jack545,27802081,0
olha,36144131,0
olha,36144131,0
olha,36144131,0
olha,36144131,0
olha,36144131,0
olha,7349072,0
olha,7349072,0
olha,7349072,0
olha,4661268,0
olha,4661268,0
olha,4661268,0
olha,27796431,1
olha,27796431,0
olha,6316602,0
olha,6316602,2
olha,10578077,0
olha,10578077,0
olha,10578077,0
olha,8867670,0
olha,8867670,0
olha,8867670,0
olha,32134448,0
olha,22907701,1
olha,22907701,0
olha,10577146,0
olha,10577146,0
olha,10577146,0
olha,27796647,0
olha,27796647,0
olha,27796647,0
olha,10579194,0
olha,27799910,1
olha,27799910,0
olha,27800218,0
olha,27800218,0
olha,27800218,0
olha,22907721,0
olha,22907721,1
olha,22908000,0
olha,22908000,0
olha,22908000,0
olha,10577565,0
olha,10577565,0
olha,10577565,0
olha,44520387,0
olha,44520387,0
ndemirci,44520084,0
ndemirci,44520084,0
ndemirci,44520084,0
ndemirci,44520084,1
ndemirci,36144131,0
ndemirci,36144131,0
ndemirci,36144131,0
ndemirci,36144131,1
ndemirci,36144131,0
ndemirci,44821127,0
ndemirci,44821127,1
ndemirci,44821127,1
ndemirci,44821127,2
ndemirci,27802081,0
ndemirci,27802081,1
ndemirci,27802081,0
ndemirci,10576909,0
ndemirci,10576909,1
ndemirci,10576909,0
ndemirci,44520272,0
ndemirci,44520272,0
ndemirci,44520272,0
ndemirci,27796852,0
ndemirci,27796852,0
ndemirci,27799972,1
ndemirci,6316602,0
ndemirci,6316602,0
ndemirci,10579035,0
ndemirci,10579035,0
ndemirci,44820972,0
ndemirci,44820972,0
ndemirci,44820972,0
ndemirci,27805178,0
ndemirci,27805178,0
ndemirci,27805178,0
ndemirci,10577146,0
ndemirci,10577146,0
ndemirci,10577146,0
ndemirci,27797205,0
ndemirci,27797205,0
ndemirci,4661284,0
ndemirci,4661284,0
ndemirci,4661284,4
ndemirci,22907980,0
ndemirci,22907980,0
ndemirci,22907980,0
ndemirci,27800553,0
ndemirci,27800553,0
ndemirci,27800553,0
ndemirci,44821071,0
ndemirci,44821071,0
ndemirci,44821071,0
ndemirci,27804446,0
ndemirci,27804446,0
ndemirci,27804446,0
ndemirci,27798250,0
ndemirci,27798250,0
ndemirci,27798250,0
juhsis,27804279,0
juhsis,27804279,1
juhsis,27804279,0
juhsis,6316602,2
juhsis,6316602,0
juhsis,6316602,0
juhsis,10579053,2
juhsis,10579053,3
juhsis,10579053,0
juhsis,10579053,0
juhsis,10577421,0
juhsis,10577421,1
juhsis,10577421,0
juhsis,27798250,0
juhsis,27798250,0
juhsis,27798250,1
juhsis,47632544,0
juhsis,47632544,0
juhsis,27802081,0
juhsis,27802081,0
juhsis,27802081,1
juhsis,32134448,0
juhsis,32134448,0
juhsis,32134448,0
juhsis,32134448,0
juhsis,27802216,0
juhsis,27802216,0
juhsis,27802216,0
juhsis,27802216,0
juhsis,27801385,0
juhsis,27801385,0
juhsis,27801385,0
juhsis,10579035,0
juhsis,10579035,0
juhsis,10579035,0
juhsis,10577247,0
juhsis,10577247,0
juhsis,10577247,0
juhsis,27805178,0
juhsis,27805178,0
juhsis,27805178,0
juhsis,8867848,1
juhsis,8867848,0
juhsis,8867848,0
juhsis,22907980,0
juhsis,22907980,0
juhsis,22907980,0
juhsis,36144131,0
juhsis,36144131,0
juhsis,36144131,0
juhsis,10577085,0
juhsis,10577085,1
juhsis,10577085,0
juhsis,27799972,0
juhsis,27799972,0
juhsis,27799972,0
tchuanro,10578077,0
tchuanro,10578077,0
tchuanro,10578077,0
tchuanro,6316124,0
tchuanro,6316124,0
tchuanro,6316124,0
tchuanro,27796647,0
tchuanro,27796647,0
tchuanro,27796647,0
tchuanro,10578517,0
tchuanro,10578517,0
tchuanro,22907980,0
tchuanro,22907980,0
tchuanro,44820972,0
tchuanro,44820972,0
tchuanro,44820972,1
tchuanro,6316602,0
tchuanro,6316602,0
tchuanro,6316602,0
tchuanro,27799972,0
tchuanro,27799972,0
tchuanro,27799972,0
tchuanro,44821071,0
tchuanro,44821071,0
tchuanro,44821071,0
tchuanro,10577902,0
tchuanro,10577902,0
tchuanro,10577902,0
tchuanro,44520208,0
tchuanro,44520208,0
tchuanro,44520208,0
tchuanro,22908006,0
tchuanro,22908006,0
tchuanro,22908006,0
tchuanro,10579053,0
tchuanro,10579053,1
tchuanro,10579053,0
tchuanro,10578056,0
tchuanro,10578056,0
tchuanro,10578056,0
tchuanro,34097293,0
tchuanro,34097293,0
tchuanro,34097293,0
tchuanro,10576318,0
tchuanro,10576318,0
tchuanro,10576318,0
tchuanro,27803215,0
tchuanro,27803215,0
tchuanro,27803215,0
tchuanro,22908012,0
tchuanro,22908012,0
tchuanro,22908012,0
tchuanro,27797205,0
tchuanro,27797205,0
tchuanro,27797205,0
tchuanro,22907701,0
tchuanro,22907701,0
tchuanro,22907701,0
tchuanro,10577596,0
tchuanro,10577596,0
tchuanro,10577596,0
tchuanro,44520387,0
tchuanro,44520387,0
tchuanro,44520387,0
tchuanro,27797673,0
tchuanro,27797673,0
tchuanro,27797673,0
tchuanro,27799911,1
tchuanro,27799911,0
tchuanro,44520094,0
tchuanro,44520094,0
tchuanro,44520094,0
tchuanro,36466709,0
tchuanro,36466709,0
tchuanro,36466709,0
tchuanro,27802284,0
tchuanro,27802284,0
tchuanro,27802284,0
tchuanro,10577146,0
tchuanro,10577146,0
tchuanro,10577146,0
tchuanro,27800619,0
tchuanro,27800619,0
tchuanro,27800619,0
tchuanro,47632544,0
tchuanro,47632544,0
tchuanro,47632544,0
tchuanro,22908000,0
tchuanro,22908000,0
tchuanro,22908000,0
tchuanro,27798055,0
tchuanro,27798055,0
tchuanro,27798055,0
tchuanro,27799910,0
tchuanro,27799910,0
tchuanro,27799910,0
tchuanro,27800553,0
tchuanro,27800553,0
tchuanro,27800553,0
tchuanro,8867670,0
tchuanro,8867670,0
tchuanro,8867670,0
tchuanro,27802216,0
tchuanro,27802216,0
tchuanro,27802216,0
tchuanro,10577093,0
tchuanro,10577093,0
tchuanro,10577093,0
tchuanro,4661268,0
tchuanro,4661268,0
tchuanro,4661268,0
abulfazhajizada,34097091,0
abulfazhajizada,34097091,0
abulfazhajizada,34097091,0
abulfazhajizada,10577421,1
abulfazhajizada,10577421,0
abulfazhajizada,27798250,0
abulfazhajizada,27798250,2
abulfazhajizada,27798250,0
abulfazhajizada,27804279,0
abulfazhajizada,27804279,0
abulfazhajizada,27804279,0
abulfazhajizada,27799910,0
abulfazhajizada,27799910,0
abulfazhajizada,27799910,0
abulfazhajizada,4661284,0
abulfazhajizada,4661284,0
abulfazhajizada,4661284,1
abulfazhajizada,10578056,0
abulfazhajizada,10578056,0
abulfazhajizada,10578056,0
abulfazhajizada,22907980,0
abulfazhajizada,22907980,0
abulfazhajizada,22907980,0
abulfazhajizada,10576318,1
abulfazhajizada,10576318,0
abulfazhajizada,22908000,0
abulfazhajizada,22908000,0
abulfazhajizada,22908000,1
abulfazhajizada,27802284,0
abulfazhajizada,27802284,1
abulfazhajizada,44821127,0
abulfazhajizada,44821127,0
abulfazhajizada,44821127,0
abulfazhajizada,44821127,0
abulfazhajizada,44520094,0
abulfazhajizada,44520094,0
abulfazhajizada,44520094,0
abulfazhajizada,27798605,0
abulfazhajizada,27798605,0
abulfazhajizada,27798605,0
abulfazhajizada,22907932,0
abulfazhajizada,22907932,0
abulfazhajizada,22907932,0
abulfazhajizada,22907932,0
abulfazhajizada,27798653,0
abulfazhajizada,27798653,0
abulfazhajizada,27798653,0
abulfazhajizada,44820931,0
abulfazhajizada,44820931,0
abulfazhajizada,44820931,0
abulfazhajizada,27799536,1
abulfazhajizada,27799536,0
abulfazhajizada,27799536,0
abulfazhajizada,44520762,0
abulfazhajizada,44520762,0
abulfazhajizada,44520762,0
abulfazhajizada,10578077,1
abulfazhajizada,10578077,0
abulfazhajizada,44520106,0
abulfazhajizada,44520106,0
abulfazhajizada,44520106,0
abulfazhajizada,27797891,0
abulfazhajizada,27797891,0
abulfazhajizada,27797891,0
ugurbyrm,4661268,1
ugurbyrm,4661268,1
ugurbyrm,4661268,2
ugurbyrm,4661268,0
ugurbyrm,4661268,0
ugurbyrm,27804446,0
ugurbyrm,27804446,0
ugurbyrm,27804446,0
ugurbyrm,27804446,0
ugurbyrm,34097293,1
ugurbyrm,34097293,1
ugurbyrm,34097293,0
ugurbyrm,10577093,0
ugurbyrm,10577093,0
ugurbyrm,10577093,0
ugurbyrm,27802284,0
ugurbyrm,27802284,0
ugurbyrm,10576318,0
ugurbyrm,10576318,0
ugurbyrm,10576318,0
ugurbyrm,10576318,0
ugurbyrm,44520106,0
ugurbyrm,44520106,0
ugurbyrm,44520106,0
ugurbyrm,44821071,0
ugurbyrm,44821071,0
ugurbyrm,44821071,0
ugurbyrm,10579053,0
ugurbyrm,10579053,0
ugurbyrm,27799911,0
ugurbyrm,27799911,0
ugurbyrm,27799911,0
ugurbyrm,27799545,0
ugurbyrm,27799545,0
ugurbyrm,27799545,0
ugurbyrm,27802081,0
ugurbyrm,27802081,0
ugurbyrm,8867848,0
ugurbyrm,8867848,0
ugurbyrm,8867848,0
ugurbyrm,27800218,0
ugurbyrm,27800218,0
ugurbyrm,27800218,0
ugurbyrm,27804279,0
ugurbyrm,27804279,0
ugurbyrm,10578077,0
ugurbyrm,10578077,0
xzhong3,27804279,2
xzhong3,27804279,0
xzhong3,27804279,0
xzhong3,27799536,1
xzhong3,27799536,2
xzhong3,27799536,4
xzhong3,22908006,0
xzhong3,22908006,0
xzhong3,22908006,0
xzhong3,22908006,0
xzhong3,8867848,0
xzhong3,8867848,0
xzhong3,8867848,0
