subject,fid,Qtype,response
jack545,27799536,5,3
jack545,27799536,5,0
jack545,27799536,5,0
jack545,27799536,5,1
jack545,32134448,1,0
jack545,32134448,4,0
jack545,32134448,5,0
jack545,27804279,1,0
jack545,27804279,3,0
jack545,27804279,4,0
jack545,27796852,1,0
jack545,27796852,5,0
jack545,27796852,6,0
jack545,10577085,1,0
jack545,10577085,3,0
jack545,10577085,6,3
jack545,10577421,1,0
jack545,10577421,2,0
jack545,10577421,2,0
jack545,10577421,5,5
jack545,7349067,4,0
jack545,7349067,5,0
jack545,7349067,5,2
jack545,34090221,3,0
jack545,34090221,4,1
jack545,34090221,5,0
jack545,44520148,2,0
jack545,44520148,4,0
jack545,44520148,5,0
jack545,10577726,2,0
jack545,10577726,3,0
jack545,10577726,6,4
jack545,27800218,2,0
jack545,27800218,3,1
jack545,27800218,4,0
jack545,10578378,1,0
jack545,10578378,1,0
jack545,10578378,3,0
jack545,10578378,5,0
jack545,10578378,6,1
jack545,10578517,1,0
jack545,10578517,2,1
jack545,10578517,6,0
jack545,10576888,1,0
jack545,10576888,4,0
jack545,7349197,2,0
jack545,7349197,2,0
jack545,7349197,3,0
jack545,7349197,6,1
jack545,27802905,1,0
jack545,27802905,2,0
jack545,27802905,5,1
jack545,27802905,6,0
jack545,27797673,1,0
jack545,27797673,2,0
jack545,27797673,5,0
jack545,27801385,2,0
jack545,27801385,3,0
jack545,27801385,5,0
jack545,27799911,1,0
jack545,27799911,2,0
jack545,27799911,4,1
jack545,51583309,2,0
jack545,51583309,3,0
jack545,51583309,5,0
jack545,44520106,3,0
jack545,44520106,4,0
jack545,44520106,5,0
jack545,44519964,1,1
jack545,44519964,2,0
jack545,44519964,4,0
jack545,44519964,5,0
jack545,47632533,1,0
jack545,47632533,2,0
jack545,47632533,5,0
jack545,47632533,6,0
jack545,27799972,1,0
jack545,27799972,5,0
jack545,27799972,5,0
jack545,27803215,3,0
jack545,27803215,5,0
jack545,27803215,6,0
jack545,27803215,6,0
jack545,27803215,6,0
jack545,27802081,3,0
jack545,27802081,4,0
jack545,27802081,6,0
olha,36144131,1,0
olha,36144131,1,0
olha,36144131,5,0
olha,36144131,5,0
olha,36144131,6,0
olha,7349072,1,0
olha,7349072,2,0
olha,7349072,5,0
olha,4661268,1,0
olha,4661268,2,0
olha,4661268,4,0
olha,27796431,2,1
olha,27796431,5,0
olha,6316602,2,0
olha,6316602,6,2
olha,10578077,1,0
olha,10578077,2,0
olha,10578077,3,0
olha,8867670,1,0
olha,8867670,2,0
olha,8867670,5,0
olha,32134448,1,0
olha,22907701,1,0
olha,22907701,3,1
olha,10577146,1,0
olha,10577146,3,0
olha,10577146,6,0
olha,27796647,2,0
olha,27796647,3,0
olha,27796647,5,0
olha,10579194,3,0
olha,27799910,3,0
olha,27799910,6,1
olha,27800218,3,0
olha,27800218,4,0
olha,27800218,5,0
olha,22907721,3,1
olha,22907721,6,0
olha,22908000,1,0
olha,22908000,2,0
olha,22908000,3,0
olha,10577565,2,0
olha,10577565,5,0
olha,10577565,6,0
olha,44520387,1,0
olha,44520387,4,0
ndemirci,44520084,1,0
ndemirci,44520084,2,0
ndemirci,44520084,5,0
ndemirci,44520084,5,1
ndemirci,36144131,2,0
ndemirci,36144131,2,1
ndemirci,36144131,3,0
ndemirci,36144131,4,0
ndemirci,36144131,5,0
ndemirci,44821127,1,1
ndemirci,44821127,3,1
ndemirci,44821127,3,2
ndemirci,44821127,5,0
ndemirci,27802081,1,0
ndemirci,27802081,2,1
ndemirci,27802081,3,0
ndemirci,10576909,1,0
ndemirci,10576909,3,1
ndemirci,10576909,5,0
ndemirci,44520272,3,0
ndemirci,44520272,5,0
ndemirci,44520272,5,0
ndemirci,27796852,1,0
ndemirci,27796852,3,0
ndemirci,27799972,5,1
ndemirci,6316602,3,0
ndemirci,6316602,5,0
ndemirci,10579035,1,0
ndemirci,10579035,3,0
ndemirci,44820972,1,0
ndemirci,44820972,3,0
ndemirci,44820972,5,0
ndemirci,27805178,1,0
ndemirci,27805178,3,0
ndemirci,27805178,5,0
ndemirci,10577146,3,0
ndemirci,10577146,4,0
ndemirci,10577146,5,0
ndemirci,27797205,4,0
ndemirci,27797205,5,0
ndemirci,4661284,2,4
ndemirci,4661284,4,0
ndemirci,4661284,5,0
ndemirci,22907980,2,0
ndemirci,22907980,3,0
ndemirci,22907980,4,0
ndemirci,27800553,2,0
ndemirci,27800553,4,0
ndemirci,27800553,5,0
ndemirci,44821071,2,0
ndemirci,44821071,3,0
ndemirci,44821071,5,0
ndemirci,27804446,1,0
ndemirci,27804446,4,0
ndemirci,27804446,5,0
ndemirci,27798250,1,0
ndemirci,27798250,4,0
ndemirci,27798250,5,0
juhsis,27804279,1,0
juhsis,27804279,2,1
juhsis,27804279,4,0
juhsis,6316602,3,2
juhsis,6316602,5,0
juhsis,6316602,6,0
juhsis,10579053,2,0
juhsis,10579053,3,2
juhsis,10579053,4,0
juhsis,10579053,5,3
juhsis,10577421,1,1
juhsis,10577421,4,0
juhsis,10577421,6,0
juhsis,27798250,1,0
juhsis,27798250,3,1
juhsis,27798250,6,0
juhsis,47632544,1,0
juhsis,47632544,5,0
juhsis,27802081,1,0
juhsis,27802081,2,1
juhsis,27802081,4,0
juhsis,32134448,3,0
juhsis,32134448,4,0
juhsis,32134448,5,0
juhsis,32134448,6,0
juhsis,27802216,1,0
juhsis,27802216,3,0
juhsis,27802216,6,0
juhsis,27802216,6,0
juhsis,27801385,1,0
juhsis,27801385,2,0
juhsis,27801385,3,0
juhsis,10579035,1,0
juhsis,10579035,2,0
juhsis,10579035,4,0
juhsis,10577247,2,0
juhsis,10577247,4,0
juhsis,10577247,6,0
juhsis,27805178,2,0
juhsis,27805178,5,0
juhsis,27805178,6,0
juhsis,8867848,3,1
juhsis,8867848,4,0
juhsis,8867848,6,0
juhsis,22907980,3,0
juhsis,22907980,4,0
juhsis,22907980,6,0
juhsis,36144131,2,0
juhsis,36144131,4,0
juhsis,36144131,5,0
juhsis,10577085,1,1
juhsis,10577085,3,0
juhsis,10577085,4,0
juhsis,27799972,1,0
juhsis,27799972,2,0
juhsis,27799972,5,0
tchuanro,10578077,2,0
tchuanro,10578077,4,0
tchuanro,10578077,5,0
tchuanro,6316124,1,0
tchuanro,6316124,2,0
tchuanro,6316124,3,0
tchuanro,27796647,1,0
tchuanro,27796647,3,0
tchuanro,27796647,5,0
tchuanro,10578517,3,0
tchuanro,10578517,4,0
tchuanro,22907980,3,0
tchuanro,22907980,4,0
tchuanro,44820972,3,0
tchuanro,44820972,5,1
tchuanro,44820972,6,0
tchuanro,6316602,1,0
tchuanro,6316602,3,0
tchuanro,6316602,4,0
tchuanro,27799972,3,0
tchuanro,27799972,4,0
tchuanro,27799972,6,0
tchuanro,44821071,1,0
tchuanro,44821071,3,0
tchuanro,44821071,6,0
tchuanro,10577902,1,0
tchuanro,10577902,1,0
tchuanro,10577902,2,0
tchuanro,44520208,1,0
tchuanro,44520208,4,0
tchuanro,44520208,5,0
tchuanro,22908006,1,0
tchuanro,22908006,2,0
tchuanro,22908006,4,0
tchuanro,10579053,1,0
tchuanro,10579053,3,0
tchuanro,10579053,4,1
tchuanro,10578056,3,0
tchuanro,10578056,5,0
tchuanro,10578056,6,0
tchuanro,34097293,1,0
tchuanro,34097293,4,0
tchuanro,34097293,6,0
tchuanro,10576318,1,0
tchuanro,10576318,3,0
tchuanro,10576318,6,0
tchuanro,27803215,1,0
tchuanro,27803215,4,0
tchuanro,27803215,5,0
tchuanro,22908012,1,0
tchuanro,22908012,2,0
tchuanro,22908012,5,0
tchuanro,27797205,3,0
tchuanro,27797205,4,0
tchuanro,27797205,6,0
tchuanro,22907701,2,0
tchuanro,22907701,4,0
tchuanro,22907701,6,0
tchuanro,10577596,2,0
tchuanro,10577596,3,0
tchuanro,10577596,5,0
tchuanro,44520387,1,0
tchuanro,44520387,3,0
tchuanro,44520387,6,0
tchuanro,27797673,1,0
tchuanro,27797673,2,0
tchuanro,27797673,6,0
tchuanro,27799911,3,0
tchuanro,27799911,5,1
tchuanro,44520094,1,0
tchuanro,44520094,4,0
